a,action_name,mass,mass_frac,vx_last_mean,vx_last_std,vx_slope_mean,vx_slope_std,ax_last_mean,ax_last_std,vy_last_mean,vy_last_std,vy_slope_mean,vy_slope_std,ay_last_mean,ay_last_std,ax_neg_frac_mean,ax_neg_frac_std,ax_pos_frac_mean,ax_pos_frac_std,ax_zero_frac_mean,ax_zero_frac_std,ay_neg_frac_mean,ay_neg_frac_std,ay_pos_frac_mean,ay_pos_frac_std,ay_zero_frac_mean,ay_zero_frac_std,jerk_x_p95_mean,jerk_x_p95_std,jerk_y_p95_mean,jerk_y_p95_std,lc_left_present_mean,lc_left_present_std,lc_right_present_mean,lc_right_present_std,d_left_lane_last_mean,d_left_lane_last_std,d_left_lane_min_mean,d_left_lane_min_std,d_right_lane_last_mean,d_right_lane_last_std,d_right_lane_min_mean,d_right_lane_min_std,front_exists_frac_mean,front_exists_frac_std,left_side_exists_frac_mean,left_side_exists_frac_std,right_side_exists_frac_mean,right_side_exists_frac_std,left_front_exists_frac_mean,left_front_exists_frac_std,right_front_exists_frac_mean,right_front_exists_frac_std,front_dx_min_mean,front_dx_min_std,front_dvx_slope_mean,front_dvx_slope_std,left_side_dy_last_mean,left_side_dy_last_std,right_side_dy_last_mean,right_side_dy_last_std,front_thw_last_mean,front_thw_last_std,front_ttc_min_mean,front_ttc_min_std
0,action_0,128026.86607074698,0.1065917009635835,28.93377318348261,6.5461494912142335,-3.449152395428829e-05,0.011130001159293263,-0.0030632440050074655,0.3032229943609214,0.004261720378639071,0.4388235330702274,-0.0013651104707902905,0.007388301394100099,-0.025781379508608933,0.16495951400589665,0.5316076913508186,0.4268821623115745,0.44209210892124035,0.4237235310087528,0.026300199727936714,0.05966591693004889,0.70689811286235,0.4111366284355212,0.2817684172014673,0.40540718461358366,0.011333469936181678,0.031658314995107885,0.14985386418626498,0.17345346153548025,0.13463404000373957,0.14699427359979378,0.07020247915312146,0.25548794702270594,0.08339535189732228,0.27647887293470375,1.9979245532802414,0.7508373527515352,1.5490661707463629,0.8581212894375765,1.8172604267227501,0.7481909950257601,1.3849501333744447,0.7683638693881988,0.7560357138229254,0.381359542903422,0.11876905028538487,0.2742911977326614,0.0636756720933222,0.19313791527230664,0.5425378109197201,0.45878449550565636,0.5487232345162036,0.46975385224232014,60.36136784266159,59.54312827914724,0.002491562355976002,0.0805637405657068,-0.8876580214730686,1.749284697027845,0.6028823378519681,1.5348442322576674,2.0938380984494906,2.1074972008107706,38.82343788302545,116.6897225094225
1,action_1,272318.1176013926,0.22672468872504867,24.604683194973337,6.867759826024777,0.0006322515306257856,0.005745451701373699,0.008462621761003113,0.18113645380989196,0.00818070515654739,0.07708546864171117,0.00028787168130329604,0.0020266969181174407,0.0054291082205041455,0.04626817268554415,0.4916528708462662,0.3774718608520627,0.46256955578758446,0.3757982844919287,0.04577757336615871,0.08121364463308067,0.38340498913984744,0.3598671108518354,0.49523358619378105,0.37669007223826956,0.1213614246663745,0.16185717301742392,0.13713714068992136,0.1552049047814952,0.1045791721702477,0.11745060328991615,1.6703930810112406e-10,1.2924368768849872e-05,9.606127725362626e-07,0.0009801080806520084,1.935485187446155,0.3432590553324427,1.8748946745820299,0.34446162490848886,1.8938736113764287,0.32585947378679775,1.8366860371654068,0.32971300608885995,0.999617720304799,0.004840687699729077,0.2609559163070348,0.378859117375571,0.15068854813788077,0.32320133860441835,0.7798992818029103,0.4060174349349502,0.5794112310810615,0.4887297691303309,59.18429986546585,42.69376538333338,-0.0002202798866420785,0.010407862234673566,-1.642345491210557,2.0019459781112716,0.8907729068030061,1.6962960639624618,2.2465067601504325,11.015555337571474,89.05583235241983,514.1773993728802
2,action_2,380910.1824059939,0.3171355005641345,28.516512490377295,7.311556323339952,0.007455416748114426,0.009070082675933863,0.18512743990386565,0.229202032022883,0.013435425389762017,0.09609410359042447,0.00029749965776355066,0.002504837029516691,0.008787148157091815,0.059789387371131424,0.1737485507169837,0.3547540950027931,0.8155081986586395,0.364437223926531,0.010743250624375124,0.05007346065826394,0.4032280466802509,0.386181329741789,0.49751884830589227,0.3971597323427815,0.09925310501387326,0.15055396729389867,0.15057001239388682,0.13662120045692955,0.10700436836836826,0.1183488885279899,1.9279059138588032e-05,0.004390750215676902,0.0001017153773438493,0.010084891240160258,1.860850812326395,0.35615763500634273,1.7877880697009743,0.35277381179458794,1.948970320064484,0.35360940596401064,1.886846754639905,0.36555424960072913,0.6880359342790214,0.41231127023900543,0.04799367098775685,0.18924162593957,0.17619616083551026,0.33026349141276445,0.38628462872240293,0.46511495718109835,0.6946742347314957,0.43333864532105204,52.798769920514786,54.54906822350026,-0.0026549950246997,0.011951108476727356,-0.309967574181501,1.078029261753079,1.1474843780611812,1.8424275648033785,1.7795478656406845,1.8063480307892075,83.62829065831254,735.3811390882837
3,action_3,284080.4075926765,0.23651765277921105,24.87147652274808,9.042468514088085,-0.014621914189218193,0.01383086799289165,-0.34868080575845667,0.36248532901745417,0.005971235175437431,0.08458176261260404,5.414879572748154e-05,0.002321719828047214,0.0022784139446195965,0.051395329074050325,0.9989622389063624,0.021817267032062236,0.0007372941000219505,0.016865147906127986,0.00030046699361377057,0.009693167281030063,0.42189387163969155,0.3857090818369633,0.45645566732327897,0.3900811848533539,0.12165046103704202,0.17935185885175323,0.1637255675462357,0.19464950028697225,0.10034507707439376,0.11675036049653424,3.0024096625071393e-06,0.001732743676382447,1.3276966074748859e-05,0.0036437329480795803,1.8959235329736808,0.36574629303266304,1.830468774405102,0.36897260764462714,1.9113313026148875,0.36199548566251755,1.8542675141848168,0.37030621981158923,0.9746153093482254,0.14163770002543902,0.13679519626007025,0.30353635176898236,0.17963500672387056,0.33679276604961866,0.5618159579032589,0.4873532432096865,0.7694967237619134,0.41191247365577494,48.7639170509918,38.828901263792964,0.006880882723801714,0.017381315946530033,-0.8632537737498612,1.6711456461557632,1.128737484910437,1.8318441411436337,14.807357926184446,935.7197284207343,39.867401220485554,85.18128552746408
4,action_4,135760.4301774322,0.1130304569680222,20.95663151381525,6.906102742834471,0.004798549740355537,0.008418527735733334,0.1414551415188913,0.23912394425215586,0.006762793918423407,0.07316422623710424,-2.492003181548718e-05,0.001980461186198319,-0.0004144969475496589,0.04434971918137996,0.11722369087263626,0.2689043226160647,0.8780611281267934,0.2745342930339852,0.004715181000573912,0.014525509204593721,0.4313982725524875,0.3815945327899389,0.4214180001429576,0.3807865424673077,0.14718372730455936,0.20559529869338194,0.1644137959112046,0.20123999489818017,0.09039129822403694,0.11399699404922588,3.2845628692254173e-10,1.8123363010618594e-05,9.116586155507464e-05,0.009547646324658323,2.06209554265253,0.38517592757596636,2.0031318464774794,0.3785255906723578,1.8515153662430337,0.3626198917069581,1.806631501579186,0.36593414446234274,0.8167198402507995,0.36449665117859675,0.3164018726815738,0.4110695540870021,0.12005607493611915,0.30479693582039663,0.713806134073963,0.42562231438840703,0.29985451601750857,0.454786879301436,57.26228809816606,49.433695243941735,-0.0006066643783429735,0.015330513545275565,-1.8751719291364177,2.0951742785361396,0.6409688924154673,1.5073279536655622,2.5196124419919026,2.195554752645227,1197.1019139755645,74989.23734367787
