s,a,style_name,action_name,mass,mass_frac,vx_last_mean,vx_last_std,vx_slope_mean,vx_slope_std,ax_last_mean,ax_last_std,vy_last_mean,vy_last_std,vy_slope_mean,vy_slope_std,ay_last_mean,ay_last_std,ax_neg_frac_mean,ax_neg_frac_std,ax_pos_frac_mean,ax_pos_frac_std,ax_zero_frac_mean,ax_zero_frac_std,ay_neg_frac_mean,ay_neg_frac_std,ay_pos_frac_mean,ay_pos_frac_std,ay_zero_frac_mean,ay_zero_frac_std,jerk_x_p95_mean,jerk_x_p95_std,jerk_y_p95_mean,jerk_y_p95_std,lc_left_present_mean,lc_left_present_std,lc_right_present_mean,lc_right_present_std,d_left_lane_last_mean,d_left_lane_last_std,d_left_lane_min_mean,d_left_lane_min_std,d_right_lane_last_mean,d_right_lane_last_std,d_right_lane_min_mean,d_right_lane_min_std,front_exists_frac_mean,front_exists_frac_std,left_side_exists_frac_mean,left_side_exists_frac_std,right_side_exists_frac_mean,right_side_exists_frac_std,left_front_exists_frac_mean,left_front_exists_frac_std,right_front_exists_frac_mean,right_front_exists_frac_std,front_dx_min_mean,front_dx_min_std,front_dvx_slope_mean,front_dvx_slope_std,left_side_dy_last_mean,left_side_dy_last_std,right_side_dy_last_mean,right_side_dy_last_std
0,0,style_0,action_0,222178.6809481772,0.18497995178038434,28.35780723534496,7.0593340211548234,0.0020619845071954556,0.008498642837771068,0.06345395927206955,0.22356881876496176,0.011216571910582467,0.09165569372407038,0.00012053122774641406,0.0023216188462130013,0.00534947991437037,0.05750421781597524,0.38446836828405867,0.4428043315543512,0.5922094218776124,0.4480261892696531,0.0233222098383282,0.06931068057676251,0.42687542250240557,0.4029391854588067,0.4767355232817732,0.40736286353875245,0.09638905421581119,0.1611248338339002,0.14778265039913482,0.1342967494474089,0.09864657356112681,0.11684921532699231,1.3502929384106536e-05,0.0036746084219960885,0.00011818486404709505,0.010870643788893334,1.9691398426142748,0.3441697977691571,1.8996573649172823,0.3408178939048698,1.8576502166073083,0.32562526721331364,1.8025297704217023,0.32296607259444504,0.301501652608032,0.34333024341425433,0.14706049485094905,0.31111914474355423,0.15160337949824895,0.31335380953422337,0.387580180055995,0.43718424510079557,0.43629616890067524,0.455679608604799,84.14197136002142,64.36010233401751,0.0011946744186390518,0.012075853757762692,-4.078685291673583,0.3863863965280802,4.046816452154129,0.3643346821131293
0,1,style_0,action_1,68335.64767373572,0.05689440929986164,21.417408923799478,5.670986392891728,-0.0063983426078545345,0.007589949040649747,-0.15403323174199895,0.19780903119108578,-0.003513297597811887,0.0736284053392982,6.500995677693104e-05,0.0021310254961091736,0.0014098074263076176,0.04473599842418469,1.0,0.0,8.678242972896225e-45,1.3174401673621635e-23,0.0,0.0,0.4146642127904098,0.3757684665752344,0.4546091157290783,0.3793729687804844,0.13072667148050782,0.18309679987352706,0.11843789117752641,0.13512172580264498,0.09925268883910032,0.11633578858382718,1.437785260948069e-16,1.1990768369658671e-08,1.0444405471506167e-08,0.00010219787357093375,2.057751737252152,0.30948134694291307,2.0096215093590515,0.30817161526025116,1.8489166355749682,0.2983869797397876,1.7911841886745246,0.3020668223209314,1.0,0.0,0.3520809125861575,0.4210649442963305,0.07833661698381705,0.2596943214712135,0.9326245381309121,0.23019495799027068,0.1805275318110897,0.3827323471689993,77.69407378390252,48.83737081779126,0.002230154950511558,0.012400791330635449,-4.076735178583904,0.3962704078156076,4.197565171475729,0.31898408524515615
0,2,style_0,action_2,195758.17332304205,0.1629829527629551,24.15045382379287,7.497327294198957,0.004233224349162146,0.006401217746408953,0.0981985614427475,0.1895141009659889,0.004205550639844811,0.08227831612160773,-0.00013880893506900907,0.002191982893968114,-0.0036988522263376594,0.050605151243115716,0.22884906018091913,0.31293963893939186,0.7448146000515603,0.33319816066984104,0.026336339767524378,0.05132266271395284,0.46103308724460157,0.3907149081167283,0.42102483548969216,0.3855845780188246,0.11794207726570766,0.17066725501397387,0.14637269511324852,0.15789849169895728,0.09900821249268747,0.11619412219672719,1.864655348164005e-11,4.3181655226834875e-06,8.817580551173557e-10,2.969441116337986e-05,1.9243377658785092,0.35441377965707377,1.857348092215693,0.36051216768037736,1.8627076808599128,0.3344232828919067,1.8100414071046687,0.3363962178487611,1.0,0.0,0.22734755697298306,0.3619329461665811,0.147677707824001,0.3195900081895705,1.0,0.0,0.6650738402433535,0.46606759931975167,51.16274000161909,35.52828694638087,-0.0022202571728095126,0.011238627361765703,-4.041621481950339,0.3945745859785051,4.1046628708951625,0.3631330812107537
0,3,style_0,action_3,99192.96840699398,0.0825853787346894,26.762083516247515,6.117727056870654,-0.0004093838957257819,0.0035629685670164357,-0.004495625856228872,0.14246804577913005,0.001219203005113726,0.08525967049873677,-6.99629449333593e-05,0.0023510775706131067,0.0005408296396577094,0.04919930197515592,0.49198692047723114,0.31000079976475514,0.4271589792008099,0.30232377558616425,0.08085410032195811,0.1104567643245894,0.45986784069316466,0.3889697098844756,0.4416065457144743,0.3874952334920728,0.09852561359234299,0.14054639336527708,0.1496740161566723,0.15702889755030147,0.11083628027277617,0.11835277444284617,1.0132366874525617e-05,0.003183121771102566,0.0001527472046118486,0.01235815005991317,1.992091202952875,0.34983822630344363,1.9269528026856215,0.3522093824752969,1.8742395480089438,0.3380921259634907,1.8123600921924539,0.3449858667775885,0.9981125570644944,0.01569828389750147,0.1525779235204884,0.3224007268330311,0.005096203649482531,0.034942549367978346,0.4822648254467383,0.4856774844281831,0.550966510501925,0.49284187410294095,69.1766818890008,53.198084054690675,0.001208902594066015,0.009957765751604437,-4.144540983277143,0.39403227134584545,4.010241950283009,0.39195151703398734
1,0,style_1,action_0,228144.33102099723,0.18994679044419965,25.887817827224556,7.911771538578766,0.010212450375306234,0.008247555359895825,0.24797332815742396,0.21310074746445898,0.0074944801110906414,0.08682749804591938,8.548157727054665e-05,0.0024484424662934443,0.003119665741883332,0.05265892705610091,4.8622966724956864e-05,0.005930657699512446,0.999951201705666,0.005945419352467276,1.7532760965228218e-07,5.9215888520522404e-05,0.4364003489024514,0.38776274202050803,0.4535118336872439,0.38976431306021586,0.11008781741029476,0.16044522811776474,0.14650181778202184,0.1423167693978987,0.1047274633680188,0.117509663557923,2.1934938820655328e-05,0.0046834237133868495,3.6239335629901885e-05,0.006019802516732171,1.8849165918144437,0.38517925572790707,1.8162873483448385,0.38460249490160986,1.968338562137267,0.36618313220748944,1.9093931228766747,0.3793383681889524,0.9986571018907724,0.00998443052428339,0.12740691217652927,0.30121960130963815,0.18010408909295156,0.34023756017454976,0.4259667776186497,0.48488672596902715,0.7030115460564489,0.45010280604466435,60.03107401013382,42.8039378658494,-0.004101133765980006,0.012431847327046532,-4.166332138885537,0.3956655460131342,4.082858894590602,0.3937073576140562
1,1,style_1,action_1,90146.18691056961,0.07505327350373527,30.199027407216846,6.869203802789334,0.00029494304124855794,0.01624815870839566,-6.82629848041399e-05,0.42727173596400425,0.0427191646065286,0.517385366878487,0.00016044257846485437,0.008607758844073183,0.005081813307109491,0.19549118046402614,0.4541502196834269,0.44902022186456614,0.5318137097544279,0.45053966693414393,0.014036070562148588,0.03893491266377978,0.4671814861535259,0.4287401844228025,0.5103669963838,0.42954351313750905,0.02245151746267007,0.04585579839624536,0.15441585862100424,0.19194149436672484,0.15986998029958782,0.15438712697471366,0.0996725899381849,0.29956295624325674,0.11837346181861587,0.3230498186900784,1.932816369735948,0.869113896140006,1.3325707215355778,0.9079986221468817,1.8640955203431124,0.8705237881201779,1.2679847946048388,0.8778226590405529,0.7056542534513904,0.3954439862287943,0.07647028375101982,0.21826458107556476,0.12276936835921495,0.25867038103701434,0.45818529585656254,0.4534843088557775,0.6092756099953845,0.44839447310351566,68.12055724803773,59.82367845100941,0.0031377076940739606,0.10589565876038264,-4.3414582291270625,0.7006317431264196,4.336586378109097,0.6961845579123507
1,2,style_1,action_2,35576.36634348544,0.029619918988870998,18.75756370746175,10.420992388251877,-0.002976053806115639,0.02422693916791363,-0.06541750848178693,0.6690567306523361,0.006664682545124149,0.05697901770843051,0.000141439047252562,0.001496721376776099,0.00391629689267567,0.03321010272767562,0.49912035682544836,0.32572859514343144,0.4719797820403375,0.3255704525110204,0.02889986113422096,0.049201917098847386,0.3633486036833843,0.3610482747662362,0.43931171052951096,0.3755381835335186,0.19733968578710837,0.24761752488453118,0.23909732124304703,0.3565216962120594,0.08185055011036121,0.11024198989284828,1.208092544794188e-29,3.475762570709035e-15,3.749774640851547e-18,1.9364334847475517e-09,1.685253069086923,0.33723235477022423,1.6397190054368334,0.3378137675022286,2.166155072223913,0.33103919702929024,2.127149857183107,0.3307415490372669,0.9988004243485232,0.012659609269072045,0.11672256651273936,0.2938975526239876,0.44775448747320384,0.42591332437262197,0.2158860135999564,0.40698229081885895,0.8703794857332108,0.32848296107285135,30.283615291624077,16.73504805905645,0.0008097565283808736,0.02877149663092897,-3.994840402396438,0.37137532729870715,4.113077904187037,0.38680087677701075
1,3,style_1,action_3,261763.6496143488,0.21793732448530373,25.73034053740377,8.519016285630128,-0.013578440510513443,0.011757025817447777,-0.3209373454864845,0.3091748991869904,0.005773853358039696,0.09134433263517996,-2.7370094614116286e-05,0.0025637962837454387,0.0007343105460761528,0.05616145979964951,1.0,0.0,0.0,0.0,0.0,0.0,0.43273084987741617,0.38959114412947554,0.4546632056039509,0.39167220358365384,0.11260594451861843,0.1670012331355277,0.16212447198563934,0.17985090871393103,0.10299429575203216,0.11740749850477654,7.20734069212179e-06,0.002684639407138683,4.357173031390129e-05,0.006600744792689591,1.8855824623904005,0.36720198716140684,1.8141089305722289,0.3773447874862201,1.9151609028229344,0.36607714264815094,1.8552667519277874,0.3754805821675002,1.0,0.0,0.11414573073701881,0.2773604909907145,0.17991320587757448,0.3366041514875635,0.5573057680946853,0.48991845978416215,0.8081969169546223,0.38597917039708235,50.55082001089335,39.89981130519059,0.006918814875612117,0.015941659326678802,-4.053910146864358,0.39961985793439603,4.0626587634954054,0.3863604014678931
